JC153333,01/05/2019 12:00:00 AM,006XX N WELLS ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,N,N,1832,42,11,1174622,1904579,41.893560332,-87.634120048,"(41.893560332, -87.634120048)"
JC117672,01/10/2019 04:30:00 PM,055XX W GRAND AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,POLICE FACILITY/VEH PARKING LOT,N,N,2515,37,11,1138788,1913480,41.918711651,-87.76551063,"(41.918711651, -87.76551063)"
JC154032,01/20/2019 05:00:00 PM,076XX S CICERO AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE PORCH/HALLWAY,N,N,833,18,02,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JC153572,01/30/2019 11:30:00 AM,003XX E 51ST ST,0880,THEFT,PURSE-SNATCHING,CTA TRAIN,N,N,224,3,06,1179102,1871273,41.802065071,-87.618684697,"(41.802065071, -87.618684697)"
JC155887,01/28/2019 12:00:00 PM,043XX N KEDZIE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DRUG STORE,N,N,1724,33,11,1154271,1928711,41.960211239,-87.708216117,"(41.960211239, -87.708216117)"
JC119701,01/16/2019 08:00:00 PM,039XX N KIMBALL AVE,1170,DECEPTIVE PRACTICE,IMPERSONATION,SMALL RETAIL STORE,Y,N,1733,33,11,1153024,1926058,41.952956098,-87.712871328,"(41.952956098, -87.712871328)"
JC154573,01/10/2019 09:15:00 AM,102XX S GREEN ST,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2232,34,06,1172458,1836896,41.707879237,-87.644060898,"(41.707879237, -87.644060898)"
JC154453,01/23/2019 08:00:00 PM,023XX W HURON ST,0810,THEFT,OVER $500,RESIDENCE,N,N,1221,1,06,1160780,1904616,41.89396015,-87.684955744,"(41.89396015, -87.684955744)"
JC155698,01/09/2019 09:00:00 AM,130XX S MARQUETTE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,433,10,11,1196435,1819083,41.658438247,-87.556845401,"(41.658438247, -87.556845401)"
JC148558,01/11/2019 02:00:00 PM,043XX W WASHINGTON BLVD,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,"SCHOOL, PRIVATE, BUILDING",N,N,1115,28,17,1147484,1900142,41.881948328,-87.733902763,"(41.881948328, -87.733902763)"
JC155842,01/30/2019 09:00:00 AM,120XX S LAFAYETTE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,523,9,11,1178097,1824952,41.674977448,-87.623771039,"(41.674977448, -87.623771039)"
JC134224,01/29/2019 12:00:00 AM,015XX N KEDVALE AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,2534,26,08B,1148432,1909983,41.908934854,-87.730167646,"(41.908934854, -87.730167646)"
JC153401,01/12/2019 09:00:00 AM,015XX S ST LOUIS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,N,N,1021,24,07,1153288,1892198,41.860035905,-87.712801279,"(41.860035905, -87.712801279)"
JC155668,01/15/2019 08:00:00 PM,064XX S LOCKWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,813,13,26,1142168,1861202,41.775191362,-87.754386886,"(41.775191362, -87.754386886)"
JC153588,01/30/2019 02:31:00 PM,092XX S RACINE AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2222,21,06,1169948,1843488,41.72602344,-87.653061882,"(41.72602344, -87.653061882)"
JC156174,01/19/2019 09:00:00 AM,012XX W 47TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,933,20,08A,1169033,1873620,41.80872929,-87.655543811,"(41.80872929, -87.655543811)"
JC156398,01/20/2019 09:00:00 AM,022XX W 72ND ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,N,N,832,18,11,1162525,1856876,41.762919907,-87.679880565,"(41.762919907, -87.679880565)"
JC103318,01/02/2019 03:00:00 PM,011XX W JACKSON BLVD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,1232,25,11,1168933,1898798,41.877822179,-87.655181405,"(41.877822179, -87.655181405)"
JC134856,01/30/2019 08:30:00 PM,006XX W DIVISION ST,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,APARTMENT,N,N,1822,27,17,1171881,1908252,41.903700111,-87.644078325,"(41.903700111, -87.644078325)"
JC155635,01/12/2019 08:00:00 PM,014XX N SEDGWICK ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1821,27,08A,1173383,1909988,41.908430535,-87.638509526,"(41.908430535, -87.638509526)"
JC129782,01/25/2019 07:47:00 PM,004XX W EUGENIE ST,0460,BATTERY,SIMPLE,STREET,N,N,1813,43,08B,1173189,1911606,41.912874717,-87.639174076,"(41.912874717, -87.639174076)"
